vix_warning_low,vix_warning_high,vix_risk_low,vix_risk_high,vix_crash_th,vix_extreme_th,panic_drop_pct,risk_warning_pos,panic_reversal_pos,risk_warning_confirm_days,risk_warning_gap_buy_pct,risk_repair_vix_th,risk_repair_gap_buy_pct,risk_on_gap_buy_pct,panic_gap_buy_pct,cagr,max_dd,calmar,vol,sharpe,total_turnover,annual_turnover,trade_count,avg_position,time_in_market,worst_year,recovery_days,total_ret,score
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.67,1.0,0.5,0.09816918877838887,-0.1281391942806487,0.7661136729436588,0.08866414912179048,1.1072027392214876,196.49769113229337,18.051001430098125,515,0.640550712791712,64.0550712791712,-0.06074017916094576,399,1.7714885603334607,0.26476423781913944
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.67,1.0,1.0,0.09816512965271462,-0.12813919428064888,0.7660819954721626,0.08873492423522047,1.1062738881987024,197.87269113229337,18.17731399297539,514,0.6408103044847778,64.08103044847778,-0.06310885060411442,399,1.7713770475773165,0.2609431834613249
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.67,1.0,0.5,0.09814990719347394,-0.1281391942806488,0.7659631991949887,0.08875605673080339,1.105838979430576,197.05299939879126,18.102014092155056,515,0.6409644582071543,64.09644582071543,-0.06074017916094576,399,1.7709588907601548,0.26308338420876126
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.67,1.0,1.0,0.09814141794438669,-0.12813919428064893,0.7658969489806415,0.08882671295781187,1.1048637811352855,198.40399939879126,18.2261219266621,514,0.6412198260353839,64.12198260353838,-0.06310885060411442,399,1.7707257182829435,0.25929389895920246
15,20,20,30,30,45,0.02,0.6,0.4,3,0.5,20,0.67,1.0,0.5,0.09798766767511147,-0.12813919428064888,0.7646970798060435,0.0889020529480523,1.102198030594053,198.01787423776213,18.190651047621383,515,0.6416097322347588,64.16097322347588,-0.06074017916094576,399,1.766505773491728,0.259158156155826
15,20,20,30,30,45,0.02,0.6,0.4,3,0.5,20,0.67,1.0,1.0,0.09797899512210861,-0.12813919428064888,0.7646293990854682,0.0889725912711077,1.1012267229978452,199.36787423776212,18.314667018446332,514,0.6418649240686201,64.186492406862,-0.06310885060411442,399,1.7662679141147244,0.2553699963105022
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.5,1.0,0.5,0.09796161185971153,-0.12813919428064885,0.764493739871325,0.08847415675806669,1.1072341963946417,194.7632568359375,17.891669909287266,515,0.6394256544129943,63.94256544129943,-0.06074017916094576,399,1.7657912047771682,0.26792425037113093
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.5,1.0,1.0,0.09795755350129709,-0.12813919428064904,0.7644620683875344,0.08854508375909213,1.10630143812178,196.1382568359375,18.01798247216453,514,0.6396852461060601,63.96852461060602,-0.06310885060411442,399,1.76567992125806,0.26410320200102216
15,20,20,30,30,45,0.02,0.6,0.4,2,0.25,20,0.67,1.0,0.5,0.09795692095547492,-0.12813919428064852,0.7644571319914121,0.08871180370213491,1.1042151874668458,197.27340113229337,18.122261006934142,526,0.6407949419363794,64.07949419363794,-0.06074017916094576,399,1.7656625766986664,0.2609699095618126
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.5,1.0,0.5,0.09793955155030676,-0.12813919428064874,0.7643215809192687,0.08856802070362203,1.1058116775359017,195.32749215604787,17.943502643359277,515,0.6398510206711123,63.985102067111235,-0.06074017916094576,399,1.7651863420053129,0.2661971093969146
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.5,1.0,1.0,0.09793106392737427,-0.12813919428064877,0.764255343395456,0.08863882680834627,1.1048325824429013,196.67849215604792,18.067610477866324,514,0.6401063884993419,64.01063884993418,-0.06310885060411442,399,1.7649536552803462,0.2624076368378904
15,20,20,30,30,45,0.02,0.6,0.4,2,0.25,20,0.67,1.0,1.0,0.09790660879199486,-0.12813919428064904,0.7640644951891995,0.0887805582578718,1.1027933447727998,198.57340113229338,18.241683793654467,525,0.6410413340518317,64.10413340518318,-0.06310885060411442,399,1.7642833213660092,0.2569945891579892
15,20,20,30,30,45,0.02,0.6,0.4,2,0.33,20,0.67,1.0,0.5,0.09786080542837627,-0.1281391942806489,0.7637070451219065,0.08882030071987237,1.1017842163923366,198.05444379879128,18.19401046215003,526,0.6412800943211986,64.12800943211985,-0.06074017916094576,399,1.7630282132920834,0.2580673390358295
15,20,20,30,30,45,0.02,0.6,0.4,2,0.33,20,0.67,1.0,1.0,0.0977912742939453,-0.12813919428064932,0.7631644232112441,0.08888824262630918,1.1001598344683776,199.30644379879126,18.309023792129906,525,0.6415180387069783,64.15180387069783,-0.06310885060411442,399,1.761123903700533,0.25407431722577006
15,20,20,30,30,45,0.02,0.6,0.4,3,0.5,20,0.5,1.0,0.5,0.097778107969279,-0.12813919428064882,0.7630616730360161,0.08871611249870964,1.1021459937246592,196.3,18.032840794768614,515,0.6405094381706348,64.05094381706348,-0.06074017916094576,399,1.760763440373534,0.26225705697138185
15,20,20,30,30,45,0.02,0.6,0.4,3,0.5,20,0.5,1.0,1.0,0.09776943707150143,-0.1281391942806491,0.7629940052328397,0.0887867985337026,1.1011708799747872,197.64999999999998,18.15685676559356,514,0.640764630004496,64.0764630004496,-0.06310885060411442,399,1.7605260747123768,0.25846891004345646
15,20,20,30,30,45,0.02,0.6,0.4,2,0.25,20,0.5,1.0,0.5,0.09772673134288623,-0.128139194280649,0.7626607291508816,0.08852338131203728,1.1039651885687458,195.5601318359375,17.964873780954772,526,0.6396780963348528,63.96780963348528,-0.06074017916094576,399,1.7593572766117074,0.2638951235006622
15,20,20,30,30,45,0.02,0.6,0.4,2,0.25,20,0.5,1.0,1.0,0.09767642972748569,-0.1281391942806494,0.7622681746660244,0.08859228172364222,1.1025388197154788,196.86013183593752,18.084296567675096,525,0.639924488450305,63.9924488450305,-0.06310885060411442,399,1.7579811657764397,0.2599198854141945
