risk_pos,core_floor,panic_drop_pct,panic_reversal_pos,panic_rsi_low,panic_rsi_high,recovery_gap_buy_pct,dip_buy_gap_buy_pct,total_ret,cagr,max_dd,calmar,ann_vol,sharpe,sortino,total_turnover,annual_turnover,trade_count,avg_position,time_in_market,worst_year,recovery_days,pass_filter,cagr_rank,calmar_rank,sharpe_rank,sortino_rank,turnover_rank_low_better,trade_count_rank_low_better,score
0.3,0.0,0.02,0.5,35,45,1.0,0.75,2.1336829925286636,0.11063011267001244,-0.16205630642770033,0.6826646559377735,0.09966844869828723,1.109981284096314,1.3153197401533823,160.6,14.753307344064385,249,0.6947905667018655,69.47905667018655,-0.06732285227361146,399,True,0.59375,0.96875,0.96875,0.96875,0.84375,0.28125,0.7906249999999999
0.3,0.0,0.02,0.5,35,45,1.0,1.0,2.1336829925286636,0.11063011267001244,-0.16205630642770033,0.6826646559377735,0.09966844869828723,1.109981284096314,1.3153197401533823,160.6,14.753307344064385,249,0.6947905667018655,69.47905667018655,-0.06732285227361146,399,True,0.59375,0.96875,0.96875,0.96875,0.84375,0.28125,0.7906249999999999
0.3,0.0,0.02,0.6,35,45,1.0,0.75,2.1410726667541633,0.11087044873669027,-0.16350761014292783,0.67807515894688,0.09995013501931618,1.1092576184640837,1.3141077995214854,163.2,14.99215291750503,249,0.6953185498064061,69.5318549806406,-0.0727277716005097,504,True,0.71875,0.71875,0.84375,0.84375,0.59375,0.28125,0.7218749999999999
0.3,0.0,0.02,0.6,35,45,1.0,1.0,2.1410726667541633,0.11087044873669027,-0.16350761014292783,0.67807515894688,0.09995013501931618,1.1092576184640837,1.3141077995214854,163.2,14.99215291750503,249,0.6953185498064061,69.5318549806406,-0.0727277716005097,504,True,0.71875,0.71875,0.84375,0.84375,0.59375,0.28125,0.7218749999999999
0.3,0.0,0.02,0.7,35,45,1.0,0.75,2.148297623222767,0.11110493173076463,-0.1649588551292461,0.6735311762664293,0.10028201992889792,1.1079247487190664,1.311809636809582,165.79999999999998,15.230998490945671,249,0.6958465329109468,69.58465329109468,-0.07813148382381518,504,True,0.84375,0.46875,0.71875,0.71875,0.21875,0.28125,0.6406249999999999
0.3,0.0,0.02,0.7,35,45,1.0,1.0,2.148297623222767,0.11110493173076463,-0.1649588551292461,0.6735311762664293,0.10028201992889792,1.1079247487190664,1.311809636809582,165.79999999999998,15.230998490945671,249,0.6958465329109468,69.58465329109468,-0.07813148382381518,504,True,0.84375,0.46875,0.71875,0.71875,0.21875,0.28125,0.6406249999999999
0.3,0.0,0.02,0.8,35,45,1.0,0.75,2.155356485376627,0.11133355272233825,-0.1664100413866553,0.6690314586464989,0.10066360691850963,1.10599606084517,1.3084547110307498,168.39999999999998,15.469844064386315,249,0.6963745160154875,69.63745160154875,-0.08353378095836961,525,True,0.96875,0.34375,0.46875,0.34375,0.09375,0.28125,0.553125
0.3,0.0,0.02,0.8,35,45,1.0,1.0,2.155356485376627,0.11133355272233825,-0.1664100413866553,0.6690314586464989,0.10066360691850963,1.10599606084517,1.3084547110307498,168.39999999999998,15.469844064386315,249,0.6963745160154875,69.63745160154875,-0.08353378095836961,525,True,0.96875,0.34375,0.46875,0.34375,0.09375,0.28125,0.553125
0.3,0.0,0.025,0.5,35,45,1.0,0.75,2.1192342621542393,0.11015870257118876,-0.16205630642770033,0.6797557281137644,0.09953415909305857,1.1067426858772862,1.311350995061283,159.4,14.643070925553321,242,0.694438577965505,69.4438577965505,-0.06641908874594604,399,True,0.09375,0.84375,0.59375,0.59375,0.96875,0.78125,0.515625
0.3,0.0,0.025,0.5,35,45,1.0,1.0,2.1192342621542393,0.11015870257118876,-0.16205630642770033,0.6797557281137644,0.09953415909305857,1.1067426858772862,1.311350995061283,159.4,14.643070925553321,242,0.694438577965505,69.4438577965505,-0.06641908874594604,399,True,0.09375,0.84375,0.59375,0.59375,0.96875,0.78125,0.515625
0.3,0.0,0.025,0.6,35,45,1.0,0.75,2.119463082475334,0.11016618359520658,-0.16350761014292783,0.6737679273699028,0.09972370690331837,1.1047140847061785,1.3086743927346787,161.4,14.82679828973843,242,0.6947905667018655,69.47905667018655,-0.0713587362086231,504,True,0.21875,0.59375,0.34375,0.46875,0.71875,0.78125,0.42812500000000003
0.3,0.0,0.025,0.6,35,45,1.0,1.0,2.119463082475334,0.11016618359520658,-0.16350761014292783,0.6737679273699028,0.09972370690331837,1.1047140847061785,1.3086743927346787,161.4,14.82679828973843,242,0.6947905667018655,69.47905667018655,-0.0713587362086231,504,True,0.21875,0.59375,0.34375,0.46875,0.71875,0.78125,0.42812500000000003
0.3,0.0,0.025,0.7,35,45,1.0,0.75,2.1195711872645053,0.11016971778682993,-0.1649588551292461,0.6678617992378245,0.09994708837796731,1.1022804123138032,1.3052475992670953,163.39999999999998,15.010525653923539,242,0.695142555438226,69.5142555438226,-0.07628852336173031,504,True,0.46875,0.21875,0.21875,0.21875,0.46875,0.78125,0.359375
0.3,0.0,0.025,0.7,35,45,1.0,1.0,2.1195711872645053,0.11016971778682993,-0.1649588551292461,0.6678617992378245,0.09994708837796731,1.1022804123138032,1.3052475992670953,163.39999999999998,15.010525653923539,242,0.695142555438226,69.5142555438226,-0.07628852336173031,504,True,0.46875,0.21875,0.21875,0.21875,0.46875,0.78125,0.359375
