ma_len,us10y_th,vix_th,rsi_th,risk_pos,cagr,max_dd,calmar,avg_exposure,dd_peak,dd_trough
150,0.15,45,32,0.7,0.1331154317227885,-0.26489483726786744,0.5025218048631853,86.74560216508796,2020-02-19,2020-03-23
150,0.15,38,32,0.7,0.13281381803660675,-0.26489483726786744,0.5013831881604491,86.73545331529094,2020-02-19,2020-03-23
150,0.15,40,32,0.7,0.13281381803660675,-0.26489483726786744,0.5013831881604491,86.73545331529094,2020-02-19,2020-03-23
150,0.15,45,35,0.7,0.1325964359523759,-0.26489483726786744,0.5005625527472681,86.75575101488498,2020-02-19,2020-03-23
200,0.15,45,32,0.7,0.13259491461994766,-0.2648948372678672,0.5005568095910639,86.52232746955345,2020-02-19,2020-03-23
150,0.12,45,32,0.7,0.132579772217448,-0.26489483726786756,0.5004996457646337,85.65967523680649,2020-02-19,2020-03-23
150,0.08,38,32,0.7,0.13241109721331434,-0.26489483726786733,0.499862883622067,84.0866035182679,2020-02-19,2020-03-23
150,0.08,38,35,0.7,0.13241109721331434,-0.26489483726786733,0.499862883622067,84.0866035182679,2020-02-19,2020-03-23
150,0.08,40,32,0.7,0.13241109721331434,-0.26489483726786733,0.499862883622067,84.0866035182679,2020-02-19,2020-03-23
150,0.08,40,35,0.7,0.13241109721331434,-0.26489483726786733,0.499862883622067,84.0866035182679,2020-02-19,2020-03-23
150,0.08,45,32,0.7,0.13241109721331434,-0.26489483726786733,0.499862883622067,84.0866035182679,2020-02-19,2020-03-23
150,0.08,45,35,0.7,0.13241109721331434,-0.26489483726786733,0.499862883622067,84.0866035182679,2020-02-19,2020-03-23
150,0.15,38,35,0.7,0.1322949604129562,-0.26489483726786744,0.49942445756002646,86.74560216508796,2020-02-19,2020-03-23
150,0.15,40,35,0.7,0.1322949604129562,-0.26489483726786744,0.49942445756002646,86.74560216508796,2020-02-19,2020-03-23
150,0.12,38,32,0.7,0.13227830111359618,-0.26489483726786756,0.4993615673220291,85.64952638700947,2020-02-19,2020-03-23
150,0.12,40,32,0.7,0.13227830111359618,-0.26489483726786756,0.4993615673220291,85.64952638700947,2020-02-19,2020-03-23
200,0.15,45,35,0.7,0.13207615725964517,-0.26489483726786744,0.4985984574931027,86.53247631935047,2020-02-19,2020-03-23
150,0.12,45,35,0.7,0.13206102179275248,-0.26489483726786744,0.4985413198491652,85.66982408660351,2020-02-19,2020-03-23
150,0.12,45,30,0.7,0.13199761661031273,-0.26489483726786744,0.4983019600220968,85.64952638700947,2020-02-19,2020-03-23
200,0.12,45,32,0.7,0.13198555108986332,-0.26489483726786733,0.49825641168082374,85.42625169147496,2020-02-19,2020-03-23
150,0.08,35,32,0.7,0.13195932972954005,-0.26489483726786733,0.49815742386892936,84.06630581867388,2020-02-19,2020-03-23
150,0.08,35,35,0.7,0.13195932972954005,-0.26489483726786733,0.49815742386892936,84.06630581867388,2020-02-19,2020-03-23
200,0.15,38,32,0.7,0.13194897759186053,-0.2648948372678672,0.49811834368984304,86.5020297699594,2020-02-19,2020-03-23
200,0.15,40,32,0.7,0.13194897759186053,-0.2648948372678672,0.49811834368984304,86.5020297699594,2020-02-19,2020-03-23
150,0.15,45,30,0.7,0.1318649807495731,-0.26489483726786744,0.4978012486375049,86.72530446549392,2020-02-19,2020-03-23
150,0.08,38,30,0.7,0.13182902830656085,-0.2648948372678672,0.4976655251806685,84.07645466847092,2020-02-19,2020-03-23
