ma_len,us10y_th,vix_th,rsi_th,risk_pos,cagr,max_dd,calmar,avg_exposure,dd_peak,dd_trough,constraint_label,max_dd_limit
150,0.15,45,32,0.3,0.12381910633914073,-0.1590354126338147,0.7785631155259684,69.07307171853856,2020-02-19,2020-03-23,DD>=-16%,-0.16
150,0.15,45,32,0.3,0.12381910633914073,-0.1590354126338147,0.7785631155259684,69.07307171853856,2020-02-19,2020-03-23,DD>=-18%,-0.18
150,0.15,45,32,0.4,0.1265245209239061,-0.18607843318528683,0.6799526348006156,73.49120433017592,2020-02-19,2020-03-23,DD>=-20%,-0.2
150,0.15,45,32,0.5,0.1289769975098154,-0.21274680871232576,0.6062464499019437,77.90933694181325,2020-02-19,2020-03-23,DD>=-22%,-0.22
