vix_warning_low,vix_warning_high,vix_risk_low,vix_risk_high,vix_crash_th,vix_extreme_th,panic_drop_pct,risk_warning_pos,panic_reversal_pos,risk_warning_confirm_days,risk_warning_gap_buy_pct,risk_repair_vix_th,risk_repair_gap_buy_pct,risk_on_gap_buy_pct,panic_gap_buy_pct,cagr,max_dd,calmar,vol,sharpe,total_turnover,annual_turnover,trade_count,avg_position,time_in_market,worst_year,recovery_days,total_ret,score
15,20,20,30,30,45,0.025,0.6,0.4,3,0.25,20,0.67,1.0,0.5,0.0983672181577262,-0.12813919428064885,0.7676590968902424,0.08859282890386966,1.1103293502960894,195.6226911322934,17.975141619137148,492,0.6403669278314275,64.03669278314274,-0.05830461979314927,399,1.7762205549290315,0.2685854560945519
15,20,20,30,30,45,0.02,0.6,0.4,2,0.33,20,0.67,1.0,0.5,0.09836342240986551,-0.1281391942806489,0.7676294748227551,0.08882300354145688,1.1074093251525297,198.05444379879128,18.198587571700255,526,0.6414002633684949,64.14002633684949,-0.06074017916094576,399,1.7761161446513296,0.2618524554501714
15,20,20,30,30,45,0.025,0.6,0.4,3,0.2,20,0.67,1.0,0.5,0.09836295851621646,-0.12813919428064896,0.7676258545904625,0.0885255795272642,1.1111247058927474,195.20895207576214,17.937124464320032,492,0.6400621997932472,64.00621997932473,-0.05830461979314927,399,1.776103384494884,0.26969272843928543
15,20,20,30,30,45,0.025,0.6,0.4,3,0.33,20,0.67,1.0,0.5,0.09834252862348491,-0.128139194280649,0.7674664194321079,0.08868478719150684,1.10889964037601,196.2019993987913,18.02837239758705,492,0.6407765935797625,64.07765935797624,-0.05830461979314927,399,1.7755414795743878,0.2667958552829202
15,20,20,30,30,45,0.02,0.6,0.4,2,0.33,20,0.67,1.0,1.0,0.09829384194348534,-0.12813919428064932,0.7670864679248961,0.08889096841552989,1.1057798525042584,199.30644379879126,18.3136298358512,525,0.641638291537509,64.1638291537509,-0.06310885060411442,399,1.7742028147127913,0.25785818062778326
15,20,20,30,30,45,0.02,0.6,0.4,2,0.2,20,0.5,1.0,0.5,0.09827642928914893,-0.12813919428064893,0.7669505793356642,0.08844668182667847,1.1111375493060665,195.0027329,17.918175645716982,526,0.6394327211174647,63.943272111746474,-0.06074017916094576,399,1.773724187350592,0.2695859177425786
15,20,20,30,30,45,0.02,0.6,0.4,2,0.2,20,0.5,1.0,1.0,0.09823811352221434,-0.12813919428064915,0.7666515625738541,0.08851611084480039,1.1098331431942374,196.3327329,18.040385079679247,525,0.639684481680845,63.9684481680845,-0.06310885060411442,399,1.7726712532931916,0.2656206179619001
15,20,20,30,30,45,0.02,0.6,0.4,2,0.25,20,0.5,1.0,0.5,0.09822925320055753,-0.128139194280649,0.7665824165041725,0.08852599136464784,1.1096091858033077,195.5601318359375,17.9693932460569,526,0.639797701298351,63.9797701298351,-0.06074017916094576,399,1.7724278194524197,0.2676812269008893
15,20,20,30,30,45,0.015,0.6,0.4,3,0.25,20,0.67,1.0,0.5,0.09819673436706022,-0.1281391942806485,0.7663286390890772,0.08875543927396062,1.1063742703583184,198.1085811322934,18.203562077627716,561,0.6413799576275542,64.13799576275542,-0.06142588513712366,399,1.7715345436643206,0.26040238453867054
15,20,20,30,30,45,0.015,0.6,0.4,3,0.2,20,0.67,1.0,0.5,0.0981891018551877,-0.1281391942806485,0.7662690748635069,0.08868827092773535,1.107126126465965,197.70984207576214,18.16692322469739,561,0.6410725887443035,64.10725887443036,-0.06142588513712366,399,1.7713249203275718,0.26144198590101003
15,20,20,30,30,45,0.02,0.6,0.4,2,0.25,20,0.5,1.0,1.0,0.09817891589787942,-0.1281391942806494,0.7661895835153197,0.088594914777293,1.108177779104798,196.86013183593752,18.08884607624558,525,0.6400441801715904,64.00441801715904,-0.06310885060411442,399,1.7710451902457258,0.26370480900637533
15,20,20,30,30,45,0.015,0.6,0.4,3,0.33,20,0.67,1.0,0.5,0.09817744615396173,-0.12813919428064904,0.7661781136139703,0.0888472974349237,1.1050133092216103,198.6638893987913,18.25458757305875,561,0.6417938487280019,64.1793848728002,-0.06142588513712366,399,1.7710048297757437,0.25872109420063144
15,20,20,30,30,45,0.025,0.6,0.4,3,0.25,20,0.67,1.0,1.0,0.09817469452791605,-0.12813919428064885,0.766156639887208,0.08862340655696199,1.1077738753453925,196.0226911322934,18.01189633611828,492,0.6404373503666387,64.04373503666388,-0.06009942654607936,399,1.7709292691222336,0.26598035758208355
15,20,20,30,30,45,0.025,0.6,0.4,3,0.2,20,0.67,1.0,1.0,0.0981704356330435,-0.12813919428064896,0.7661234034141948,0.08855618032837557,1.108566734348944,195.60895207576215,17.973879181301164,492,0.6401326223284584,64.01326223284583,-0.06009942654607936,399,1.7708123220068943,0.2670876357535837
15,20,20,30,30,45,0.025,0.6,0.4,3,0.25,20,0.5,1.0,0.5,0.09815955158227196,-0.1281391942806493,0.7660384641352107,0.08840261779800193,1.1103692857440537,193.8882568359375,17.815770014924826,492,0.6392414733053933,63.92414733053933,-0.05830461979314927,399,1.7705134718003128,0.271745971465889
15,20,20,30,30,45,0.025,0.6,0.4,3,0.2,20,0.5,1.0,0.5,0.09815924946073884,-0.12813919428064882,0.7660361063746952,0.08833368066480125,1.1112324169217238,193.46593289999998,17.77696402307547,492,0.6389269464695774,63.892694646957736,-0.05830461979314927,399,1.7705051766774909,0.2729077934608552
15,20,20,30,30,45,0.025,0.6,0.4,2,0.2,20,0.67,1.0,0.5,0.09815748116398892,-0.1281391942806488,0.7660223065630153,0.08856153700071719,1.1083534058718294,195.89882007576216,18.000514222055884,504,0.6402497821876134,64.02497821876135,-0.05830461979314927,399,1.7704566263410775,0.2661874876797629
15,20,20,30,30,45,0.025,0.6,0.4,3,0.33,20,0.67,1.0,1.0,0.09815000932129747,-0.128139194280649,0.7659639962018994,0.08871533304826693,1.10634775239921,196.6019993987913,18.06512711456818,492,0.6408470161149737,64.08470161149738,-0.06009942654607936,399,1.7702514880386069,0.2641907905432777
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.33,1.0,0.5,0.09813763638613837,-0.12813919428064877,0.7658674376490819,0.08825446097325827,1.1119849954766,192.5385551732918,17.691750258376057,515,0.6380350420057784,63.80350420057784,-0.06074017916094576,399,1.7699118213221299,0.27529553767622444
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.33,1.0,1.0,0.09813279749576909,-0.12813919428064963,0.7658296748833872,0.08832565648590854,1.1110338875480101,193.91555517329184,17.81827837158361,514,0.638295077217046,63.8295077217046,-0.06310885060411442,399,1.7697789924753633,0.27146193151430137
15,20,20,30,30,45,0.02,0.6,0.4,3,0.2,20,0.33,1.0,0.5,0.09813259210663139,-0.12813919428064913,0.7658280720237901,0.08818367388620506,1.1128204097423375,192.12264635794804,17.653533731381266,515,0.6377031629864188,63.77031629864188,-0.06074017916094576,399,1.7697733546160648,0.27640266786077555
15,20,20,30,30,45,0.025,0.6,0.4,3,0.33,20,0.5,1.0,0.5,0.09813208315893096,-0.12813919428064868,0.7658241001890759,0.08849653493388136,1.1088805141607931,194.47649215604793,17.869821071697235,492,0.6396627639882501,63.96627639882501,-0.05830461979314927,399,1.7697593842263308,0.26991007581658316
15,20,20,30,30,45,0.02,0.6,0.4,3,0.2,20,0.33,1.0,1.0,0.09813052290308022,-0.12813919428064877,0.7658119239313776,0.08825495391213192,1.1118981830842105,193.51464635794807,17.781440146475607,514,0.6379658390427569,63.79658390427569,-0.06310885060411442,399,1.7697165562906911,0.27254932731553366
15,20,20,30,30,45,0.02,0.6,0.4,2,0.33,20,0.5,1.0,0.5,0.09812305103908714,-0.1281391942806488,0.7657536134040246,0.08863700053116527,1.10702133929483,196.3568743560479,18.04260336064063,526,0.640297278460081,64.0297278460081,-0.06074017916094576,399,1.769511467167522,0.2646561203632299
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.33,1.0,0.5,0.09811934342957973,-0.12813919428064913,0.7657246791694333,0.08835058959527893,1.1105680661447765,193.1117175470147,17.744416310452106,515,0.6384782394605606,63.84782394605606,-0.06074017916094576,399,1.769409705126391,0.2735727976342936
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.33,1.0,1.0,0.09811007343710254,-0.1281391942806491,0.7656523360231445,0.08842166181517075,1.1095705670199192,194.46471754701474,17.86873914064079,514,0.6387340493197154,63.87340493197154,-0.06310885060411442,399,1.76915528829357,0.2697707695823443
15,20,20,30,30,45,0.025,0.6,0.4,2,0.25,20,0.67,1.0,0.5,0.09810557098612027,-0.12813919428064896,0.7656171988349685,0.08863843207109066,1.1068062542829806,196.47340113229342,18.053310632344697,504,0.6405980387469205,64.05980387469205,-0.05830461979314927,399,1.7690317252668963,0.26419848764305137
15,20,20,30,30,45,0.02,0.6,0.4,2,0.33,20,0.5,1.0,1.0,0.09805348580004658,-0.12813919428064866,0.7652107253405326,0.08870510735618675,1.1053871498776537,197.6088743560479,18.15764562479157,525,0.6405353066290951,64.05353066290951,-0.06310885060411442,399,1.7676026892457415,0.2606619643752099
15,20,20,30,30,45,0.015,0.6,0.4,3,0.25,20,0.5,1.0,0.5,0.09803234890287893,-0.12813919428064857,0.7650457727100259,0.0885687313934095,1.1068505482757047,196.38825683593748,18.045486996056898,561,0.6402868078124355,64.02868078124355,-0.06142588513712366,399,1.7670229575010445,0.2638617706067437
15,20,20,30,30,45,0.015,0.6,0.4,3,0.25,20,0.67,1.0,1.0,0.09803155652762774,-0.1281391942806484,0.7650395890028823,0.08885888902194299,1.1032273485145605,201.49447113229337,18.514680649325825,560,0.6420346917824837,64.20346917824837,-0.06447660305918235,399,1.7670012267923703,0.2497797773015324
